mandt,land1,landk,lnplz,prplz,addrs,xplzs,xplpf,spras,xland,xaddr,nmfmt,xregs,xplst,intca,intca3,intcn3,xegld,xskfn,xmwsn,lnbkn,prbkn,lnblz,prblz,lnpsk,prpsk,xprbk,bnkey,lnbks,prbks,xprso,pruin,uinln,lnst1,prst1,lnst2,prst2,lnst3,prst3,lnst4,prst4,lnst5,prst5,landd,kalsm,landa,wechf,lkvrz,intcn,xdezp,datfm,curin,curha,waers,kurst,afapl,gwgwrt,umrwrt,kzrbwb,xanzum,ctnconcept,kzsrv,xxinve,xgccv,sureg,landgrp_vp,operation_flag,is_deleted,recordstamp
001,EG,ET,,,,X,,A,,X,,,,EG,EGY,818,,,,,,15,5,,,,4,11,1,,,,,,,,,,,,,,287,,220,,AEGYPT,,,,,,EGP,,,,,,,,,,,,,L,False,2022-01-31 20:43:38.378205+00:00
050,EG,ET,,,,X,,A,,X,,,,EG,EGY,818,,,,,,15,5,,,,4,11,1,,,,,,,,,,,,,,287,,220,,AEGYPT,,,,,,EGP,,,,,,,,,,,,,L,False,2022-01-31 20:43:38.378205+00:00
100,EG,ET,,,,X,,A,,X,,,,EG,EGY,818,,,,,,15,5,,,,4,11,1,,,,,,,,,,,,,,287,,220,,AEGYPT,,,,,,EGP,,,,,,,,,,,,,L,False,2022-01-31 20:43:38.378205+00:00
200,EG,ET,,,,X,,A,,X,,,,EG,EGY,818,,,,,,15,5,,,,4,11,1,,,,,,,,,,,,,,287,,220,,AEGYPT,,,,,,EGP,,,,,,,,,,,,,L,False,2022-01-31 20:43:38.378205+00:00
250,EG,ET,,,,X,,A,,X,,,,EG,EGY,818,,,,,,15,5,,,,4,11,1,,,,,,,,,,,,,,287,,220,,AEGYPT,,,,,,EGP,,,,,,,,,,,,,L,False,2022-01-31 20:43:38.378205+00:00
100,EG,ET,,,,X,,A,,X,,,,EG,EGY,818,,,,,,15,5,,,,4,11,1,,,,,,,,,,,,,,287,,220,,AEGYPT,,,,,,EGP,,,,,,,,,,,,,I,False,2022-04-21 15:05:19.043008+00:00
000,WF,,,,,X,,F,,X,,,,WF,WLF,876,,,,,,15,5,,,,4,11,1,,,,,,,,,,,,,,998,,811,,WALLIS,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:38.378205+00:00
001,WF,,,,,X,,F,,X,,,,WF,WLF,876,,,,,,15,5,,,,4,11,1,,,,,,,,,,,,,,998,,811,,WALLIS,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:38.378205+00:00
050,WF,,,,,X,,F,,X,,,,WF,WLF,876,,,,,,15,5,,,,4,11,1,,,,,,,,,,,,,,998,,811,,WALLIS,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:38.378205+00:00
100,WF,,,,,X,,F,,X,,,,WF,WLF,876,,,,,,15,5,,,,4,11,1,,,,,,,,,,,,,,998,,811,,WALLIS,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:38.378205+00:00
200,WF,,,,,X,,F,,X,,,,WF,WLF,876,,,,,,15,5,,,,4,11,1,,,,,,,,,,,,,,998,,811,,WALLIS,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:38.378205+00:00
250,WF,,,,,X,,F,,X,,,,WF,WLF,876,,,,,,15,5,,,,4,11,1,,,,,,,,,,,,,,998,,811,,WALLIS,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:38.378205+00:00
100,WF,,,,,X,,F,,X,,,,WF,WLF,876,,,,,,15,5,,,,4,11,1,,,,,,,,,,,,,,998,,811,,WALLIS,,,,,,,,,,,,,,,,,,,I,False,2022-04-21 15:05:19.043008+00:00
000,LI,FL,04,4,001,X,,D,,,,,,LI,LIE,438,,,,18,5,,,,,,4,15,5,,,,,,,,,,,,,,141,,037,,LIECHT,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:38.378205+00:00
001,LI,FL,04,4,001,X,,D,,,,,,LI,LIE,438,,,,18,5,,,,,,4,15,5,,,,,,,,,,,,,,141,,037,,LIECHT,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:38.378205+00:00
050,LI,FL,04,4,001,X,,D,,,,,,LI,LIE,438,,,,18,5,,,,,,4,15,5,,,,,,,,,,,,,,141,,037,,LIECHT,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:38.378205+00:00
100,LI,FL,04,4,001,X,,D,,,,,,LI,LIE,438,,,,18,5,,,,,,4,15,5,,,,,,,,,,,,,,141,,037,,LIECHT,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:38.378205+00:00
