mandt,land1,landk,lnplz,prplz,addrs,xplzs,xplpf,spras,xland,xaddr,nmfmt,xregs,xplst,intca,intca3,intcn3,xegld,xskfn,xmwsn,lnbkn,prbkn,lnblz,prblz,lnpsk,prpsk,xprbk,bnkey,lnbks,prbks,xprso,pruin,uinln,lnst1,prst1,lnst2,prst2,lnst3,prst3,lnst4,prst4,lnst5,prst5,landd,kalsm,landa,wechf,lkvrz,intcn,xdezp,datfm,curin,curha,waers,kurst,afapl,gwgwrt,umrwrt,kzrbwb,xanzum,ctnconcept,kzsrv,xxinve,xgccv,sureg,landgrp_vp,operation_flag,is_deleted,recordstamp
250,GD,WG,,,,X,,E,,X,,,,GD,GRD,308,,,,,,15,5,,,,4,11,1,,,,,,,,,,,,,,340,,473,,GRENAD,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:38.378205+00:00
100,GD,WG,,,,X,,E,,X,,,,GD,GRD,308,,,,,,15,5,,,,4,11,1,,,,,,,,,,,,,,340,,473,,GRENAD,,,,,,,,,,,,,,,,,,,I,False,2022-04-21 15:05:19.043008+00:00
000,GP,,,,,X,,F,,X,,,,GP,GLP,312,,,,,,15,5,,,,4,11,1,,,,,,,,,,,,,,129,,001,,GUADEL,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:38.378205+00:00
001,GP,,,,,X,,F,,X,,,,GP,GLP,312,,,,,,15,5,,,,4,11,1,,,,,,,,,,,,,,129,,001,,GUADEL,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:38.378205+00:00
050,GP,,,,,X,,F,,X,,,,GP,GLP,312,,,,,,15,5,,,,4,11,1,,,,,,,,,,,,,,129,,001,,GUADEL,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:38.378205+00:00
100,GP,,,,,X,,F,,X,,,,GP,GLP,312,,,,,,15,5,,,,4,11,1,,,,,,,,,,,,,,129,,001,,GUADEL,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:38.378205+00:00
200,GP,,,,,X,,F,,X,,,,GP,GLP,312,,,,,,15,5,,,,4,11,1,,,,,,,,,,,,,,129,,001,,GUADEL,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:38.378205+00:00
250,GP,,,,,X,,F,,X,,,,GP,GLP,312,,,,,,15,5,,,,4,11,1,,,,,,,,,,,,,,129,,001,,GUADEL,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:38.378205+00:00
100,GP,,,,,X,,F,,X,,,,GP,GLP,312,,,,,,15,5,,,,4,11,1,,,,,,,,,,,,,,129,,001,,GUADEL,,,,,,,,,,,,,,,,,,,I,False,2022-04-21 15:05:19.043008+00:00
000,GU,,,,,X,,E,,X,,,,GU,GUM,316,,,,,,15,5,,,,4,11,1,,,,,,,,,,,,,,368,,810,,AMOZ,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:38.378205+00:00
001,GU,,,,,X,,E,,X,,,,GU,GUM,316,,,,,,15,5,,,,4,11,1,,,,,,,,,,,,,,368,,810,,AMOZ,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:38.378205+00:00
050,GU,,,,,X,,E,,X,,,,GU,GUM,316,,,,,,15,5,,,,4,11,1,,,,,,,,,,,,,,368,,810,,AMOZ,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:38.378205+00:00
